comparator,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_ratio,ci_low_log_R_ratio,ci_high_log_R_ratio,median_log_R_abs_ratio,ci_low_log_R_abs_ratio,ci_high_log_R_abs_ratio,median_R_ratio_reduction_percent,ci_low_R_ratio_reduction_percent,ci_high_R_ratio_reduction_percent,median_R_abs_ratio_reduction_percent,ci_low_R_abs_ratio_reduction_percent,ci_high_R_abs_ratio_reduction_percent,R_pta_lower,R_abs_pta_lower
SETA,0.05,0.0,288,24,-0.21730664722597753,-0.3034167081686025,-0.14112064726591725,-0.03382222351285122,-0.0482199583102031,-0.017186392545238374,19.531682239626292,13.161546284275882,26.170861978792626,3.3256646400921075,1.7039548941587657,4.707583956429218,0.8333333333333334,0.6909722222222222
SETA,0.05,0.05,288,24,-0.22740593068471787,-0.2932173891247145,-0.13910743664827216,-0.030719221039121045,-0.04514910032360131,-0.01721175155434669,20.34026466593726,12.986546090217676,25.414001877647074,3.0252180361203362,1.7064475528561052,4.414504707498623,0.8819444444444444,0.7083333333333334
SETA,0.05,0.1,288,24,-0.22153767784215328,-0.287740478538971,-0.13136762874786528,-0.03611230836446542,-0.04108045833562632,-0.02252436632984998,19.871426913811984,12.310465680984029,25.00438032861908,3.546803760717787,2.227258672556842,4.02480931998177,0.8854166666666666,0.6770833333333334
SETA,0.05,0.2,288,24,-0.19001160728627664,-0.267407585658768,-0.08719502433723544,-0.024898272533048237,-0.050858145776282275,0.022880761026693456,17.3050464752337,8.35016612783418,23.463894230737115,2.459086711816627,-2.3144533569701142,4.95865188629484,0.7847222222222222,0.5833333333333334
SETA,0.1,0.0,288,24,-0.21363666487156746,-0.28619261159840526,-0.13178907905681692,-0.029014201061566887,-0.03978764662145785,-0.01354394310468833,19.235822365169664,12.347414675685076,24.88820720116568,2.8597330580461766,1.3452636588861422,3.90065122997727,0.8402777777777778,0.6736111111111112
SETA,0.1,0.05,288,24,-0.22285222393852183,-0.28374684052028226,-0.1345443865865416,-0.029393503734492975,-0.044797088541663,-0.01588122848540925,19.976690414749676,12.588592092473505,24.70427611573428,2.896571634019185,1.5755786710705988,4.380851564169285,0.8854166666666666,0.6701388888888888
SETA,0.1,0.1,288,24,-0.21964495234989445,-0.26971473029923887,-0.12721069087323655,-0.03682707631080943,-0.04159927160857445,-0.026860786392468777,19.71962190358606,11.945187040261674,23.640270555882193,3.6157207809394465,2.650324391328285,4.074589608326528,0.875,0.6875
SETA,0.1,0.2,288,24,-0.18847468341995677,-0.2569836157422171,-0.0830449171478366,-0.025330317381828803,-0.05291247491475258,0.023067728287974428,17.17785290916096,7.969019140000311,22.661911506657194,2.5012196586314372,-2.3335845985059223,5.153697684355718,0.7777777777777778,0.5833333333333334
SETA,0.2,0.0,288,24,-0.17706706515704995,-0.24676450380929263,-0.11718555903254062,-0.020978700181353213,-0.034418867453531565,-0.009713225335418924,16.227639942581472,11.057986209017434,21.867532914876165,2.076017802205088,0.9666204327243411,3.383327592667673,0.8472222222222222,0.6180555555555556
SETA,0.2,0.05,288,24,-0.18806222273038753,-0.2514803904078386,-0.11408281731501003,-0.026924922422658218,-0.036871726226610245,-0.013150757817211423,17.14368498328154,10.781593546601043,22.235129316576263,2.656567812845778,1.3064664412691385,3.620024234815955,0.8680555555555556,0.6597222222222222
SETA,0.2,0.1,288,24,-0.18257345708214573,-0.25233054376757513,-0.09703241950094343,-0.029773009050744408,-0.03993302822152961,-0.014838431184201088,16.687655713664785,9.247341590259794,22.301213287921883,2.9334159095688817,1.4728884168815237,3.9146212915477485,0.8576388888888888,0.6215277777777778
SETA,0.2,0.2,288,24,-0.1620124001372067,-0.23516097575115505,-0.06605461229399073,-0.024774703699966046,-0.04720882680649849,0.058024166471760244,14.956934098200648,6.392025856637462,20.955640286506704,2.4470329502645494,-5.974060559225425,4.611182063221153,0.7638888888888888,0.5590277777777778
