family,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_degradation,ci_low_log_R_degradation,ci_high_log_R_degradation,median_log_R_abs_degradation,ci_low_log_R_abs_degradation,ci_high_log_R_abs_degradation,median_R_degradation_percent,ci_low_R_degradation_percent,ci_high_R_degradation_percent,median_R_abs_degradation_percent,ci_low_R_abs_degradation_percent,ci_high_R_abs_degradation_percent
SBTA,0.2,0.1,72,24,0.012263441205035999,-0.013544842796896493,0.07870086878541872,-0.010942443300279759,-0.020161281043606198,0.38458964423353015,1.2338945532074694,-1.3453524177437983,8.188064938974325,-1.0882792540862747,-1.9959401410646678,46.901138044847166
SBTA,0.2,0.2,72,24,0.06734334081709877,0.021602539281495726,0.1593479582368374,0.5284149916983416,-0.01141466618894662,1.3731036117690616,6.96626739908453,2.1837563455172115,17.274594230422466,69.62416197508381,-1.134976605932958,294.7583469275442
SBTA,0.4,0.0,72,24,0.04491222519006702,-0.01063959858705444,0.09577927800059487,-0.07895250979412771,-0.11293216435992394,0.43628643762173147,4.59360490415285,-1.058319826084142,10.051612906403886,-7.591619166664788,-10.678875038223056,54.69518364994157
SBTA,0.4,0.05,72,24,0.048440037317847406,-0.009263308369924977,0.10447046631921406,-0.07165613315694987,-0.1119671529608333,0.6102993790683453,4.963243115745195,-0.922053610173823,11.012260737534678,-6.914907044594816,-10.59263753105899,84.09824679043226
SBTA,0.4,0.1,72,24,0.07162599867466879,-0.003500645778040988,0.12019520318517807,-0.021382293419246894,-0.09639803609836145,0.8372158073803545,7.425349669126854,-0.3494525661145942,12.771696403870985,-2.115531285024148,-9.189751344807927,130.99267345376592
SBTA,0.4,0.2,72,24,0.1435744466904164,0.04366742489465505,0.197861500130614,0.4943381417742324,-0.07082724670387189,1.6330032661472869,15.43927483277397,4.4634877556041115,21.879357937997092,63.94128210392115,-6.837718086038946,411.92260532322206
SETA,0.0,0.0,144,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETA,0.0,0.05,144,24,0.00986864442479021,0.0036942038521186596,0.01924499619427123,0.00046133007823773923,-0.0011103232518094226,0.004498860262753072,0.9917500076946251,0.3701035833489241,1.9431374832327375,0.04614365073239663,-0.1109707071022053,0.4508995327632048
SETA,0.0,0.1,144,24,0.041373120548436615,0.01960271874247907,0.060242770291971934,0.003663956506771849,0.0006764008311605741,0.052186145140967824,4.224091450628607,1.9796113655216496,6.209436020727366,0.3670677000772798,0.06766296417890966,5.357184154032127
SETA,0.0,0.2,144,24,0.14762716083890565,0.09249604362787944,0.20443762147853303,0.06545968289545331,0.00945287371934455,0.6042699395358235,15.908066512878827,9.69088017723169,22.68349253101281,6.7649691901523035,0.9497693243236546,82.99157719473745
SETA,0.05,0.0,144,24,0.0011736331854209337,-0.0003400255426933138,0.006805114372061895,-0.0025483987675177172,-0.005261319637367763,-0.001878298552928016,0.11743221623569297,-0.033996774056005805,0.6828321776016033,-0.25451543559818807,-0.524750313683321,-0.1876535654123884
SETA,0.05,0.05,144,24,0.010530288775286415,0.0014520792286092789,0.02336455472971814,-0.002345521943232433,-0.004159048086487469,-0.0005599141377104202,1.0585927391532655,0.145313400613075,2.3639644208374038,-0.23427733560165195,-0.41504112238524016,-0.055975741504139365
