pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,kill_percent,config,repetitions,R,R_abs,R2_norm,R2_max_norm,post_removal_R,post_removal_R_abs,post_removal_R2_norm,post_removal_R2_max_norm,comparator_post_removal_R,comparator_post_removal_R_abs,comparator,post_removal_R_reduction_percent,post_removal_R_pta_lower,post_removal_R_abs_reduction_percent,post_removal_R_abs_pta_lower
500,4,1.5,sharp,PTA,HT1,latent,Agent,5,PTA-HT1-latent-Agent,100,1.05507281,1.0633693800000001,1.47998739,3.75475492,1.11828891,1.13691879,1.5685714400000002,3.67414229,1.5085021799999998,1.58395821,SETA,25.86759735408536,True,28.222930199654705,True
500,4,1.5,sharp,PTA,HT1,latent,Agent,10,PTA-HT1-latent-Agent,100,1.10217002,1.10983014,1.54567122,3.8144543900000003,1.21248336,1.22984042,1.6999390600000002,3.81342087,1.63073802,1.70045074,SETA,25.648182287428355,True,27.675622053009306,True
500,4,1.5,sharp,PTA,HT1,latent,Agent,20,PTA-HT1-latent-Agent,100,1.23249467,1.23865128,1.72789311,4.19447118,1.4731328099999998,1.4874826300000001,2.06438291,4.19447118,1.99412094,2.04734366,SETA,26.126205264160163,True,27.345728073810527,True
500,4,1.5,sharp,PTA,HT1,latent,Agent,30,PTA-HT1-latent-Agent,100,1.57964264,1.58349234,2.21619411,4.77756614,2.16742872,2.17716479,3.0409849500000004,4.77756614,2.7337288799999997,2.76242465,SETA,20.715300779936875,True,21.186455167202478,True
500,4,1.5,sharp,PTA,HT1,latent,Agent,40,PTA-HT1-latent-Agent,100,18.02920907,15.84817583,21.266105149999998,72.03429895000001,35.06656161,30.706531719999997,41.140807020000004,72.03429895000001,35.2230042,30.96288519,SETA,0.44414891220436736,True,0.8279379277057797,True
500,4,1.5,sharp,PTA,HT1,latent,Agent,50,PTA-HT1-latent-Agent,100,24.816344949999998,29.47782618,28.1370619,83.93816598,48.64083369,57.96583234,54.88272054,83.93816598,48.67947111,58.17131773,SETA,0.07937107597716375,True,0.35324176590558753,True
500,4,1.5,sharp,PTA,HT1,latent,Global,0,PTA-HT1-latent-Global,100,1.21029363,1.22480274,1.6852842000000001,3.67644248,1.23920175,1.27389818,1.72569986,3.4396120100000003,1.41184281,1.49190884,SETA,12.228065247575248,True,14.612867365274141,True
500,4,1.5,sharp,PTA,HT1,latent,Global,5,PTA-HT1-latent-Global,100,1.25229924,1.26573059,1.74340348,3.67644248,1.32321288,1.35575371,1.84193832,3.54212301,1.5085021799999998,1.58395821,SETA,12.282998490595476,True,14.407229847307656,True
500,4,1.5,sharp,PTA,HT1,latent,Global,10,PTA-HT1-latent-Global,100,1.3028714700000001,1.31523339,1.81342508,3.7077758,1.4243574899999998,1.4547595000000002,1.9819816700000001,3.69906565,1.63073802,1.70045074,SETA,12.655652070956203,True,14.448594964885586,True
500,4,1.5,sharp,PTA,HT1,latent,Global,20,PTA-HT1-latent-Global,100,1.44463312,1.4540415100000001,2.01109295,4.12006475,1.70788071,1.73237559,2.37731745,4.12006475,1.99412094,2.04734366,SETA,14.354206119514501,True,15.384230608358152,True
