pop,n,step_ratio,pattern,threshold_range,R_latent,R_abs_latent,R_clamped,R_abs_clamped,R_log_ratio,R_abs_log_ratio
50,8,1.5,sharp,HM,1.07106479,1.5249763100000002,0.9677619799999999,1.26600705,0.10142239487131233,0.18611098308562687
50,8,1.5,sharp,HT1,0.8995681000000001,1.22518249,1.24089912,1.8762747,-0.32167673336572045,-0.4261984641057243
50,8,1.5,sharp,HT2,1.04821916,1.45340296,1.13260008,1.6353578899999999,-0.077423259158236,-0.1179539975598575
50,8,1.5,zigzag,HM,1.607374,11.52163611,2.1085019700000003,12.91232035,-0.27137593704162033,-0.11395525285297951
50,8,1.5,zigzag,HT1,1.57914733,13.122029540000002,1.96113732,14.202032200000001,-0.21663953344914885,-0.07909260494225508
50,8,1.5,zigzag,HT2,1.95335111,13.4256558,2.05024671,13.78943759,-0.04841371668874584,-0.02673541870828868
50,8,2.0,random,HM,0.6129162,37.59808648,0.6011424000000001,38.54248338,0.019396376954766276,-0.024807939728494887
50,8,2.0,random,HT1,1.3541796,85.89191433,1.3682375999999998,86.79760198,-0.010327678618160013,-0.01048929863711809
50,8,2.0,random,HT2,1.0287669,65.97543732999999,1.0320141,66.17427167,-0.0031514291790007438,-0.0030092308420422093
50,8,2.0,scurve,HM,0.8381267200000001,8.94216545,0.9132341599999999,9.1453907,-0.08582301464304912,-0.022472223516830328
50,8,2.0,scurve,HT1,1.0562799699999998,9.40348801,1.25667767,9.64252545,-0.17371819547043607,-0.025102365111752612
50,8,2.0,scurve,HT2,0.9397008499999999,9.34908913,1.03147701,9.48802251,-0.09318546440011459,-0.01475129541934924
50,8,2.0,sharp,HM,0.6619197,1.17172392,0.567024,0.722897,0.15474261861174887,0.4829646292016154
50,8,2.0,sharp,HT1,0.7046418,0.9793441300000001,1.018296,1.63840673,-0.36819633246750766,-0.5145964499913572
50,8,2.0,sharp,HT2,0.7306191,1.06356563,0.8017935,1.25383733,-0.09295883650004408,-0.1645816478185028
50,8,2.0,zigzag,HM,0.93036162,11.052081000000001,1.0564663,12.21286402,-0.1271115894928931,-0.0998710880649253
50,8,2.0,zigzag,HT1,1.0930436000000001,12.74630206,1.4515935,13.654194910000001,-0.28369581991993387,-0.06880559880546144
50,8,2.0,zigzag,HT2,1.16972769,12.80657386,1.26495179,13.08586475,-0.07826303265038816,-0.021573999021554213
50,8,2.5,random,HM,0.3996486,23.37206745,0.38044897,24.200310920000003,0.049233605702122055,-0.03482387039408058
50,8,2.5,random,HT1,1.19512612,75.94542868,1.20985009,76.81449087,-0.012244739807848308,-0.011378266873031362
50,8,2.5,random,HT2,0.8228734400000001,52.75473541,0.8265184000000001,52.962123,-0.004419769572154233,-0.003923458550596682
50,8,2.5,scurve,HM,0.74087812,8.82844382,0.60593194,8.93954954,0.20106846180482327,-0.012506439632781825
50,8,2.5,scurve,HT1,0.9100936799999999,9.328397639999999,1.05017032,9.49059632,-0.1431601002534742,-0.01723818997337323
50,8,2.5,scurve,HT2,0.70404198,9.17529118,0.73897142,9.26591221,-0.04842126125469928,-0.009828182850121471
50,8,2.5,sharp,HM,0.6422636,1.92758736,0.33821566,0.46750993,0.6413150719658476,1.416603838222755
50,8,2.5,sharp,HT1,0.57714433,0.7780231999999999,0.8819112,1.48393014,-0.42399899678925945,-0.6456930033623464
50,8,2.5,sharp,HT2,0.5507638,0.85696522,0.61543325,1.05233858,-0.11102044921828592,-0.20537285127973626
50,8,2.5,zigzag,HM,0.69490733,10.729764419999999,0.60747707,11.85094328,0.13446406889859566,-0.09938586496488148
50,8,2.5,zigzag,HT1,0.87307,12.5350072,1.19118112,13.35044398,-0.3106848957795733,-0.06302433522030303
50,8,2.5,zigzag,HT2,0.82112125,12.55105674,0.90579341,12.80222691,-0.09814047146188115,-0.019814268713609643
50,12,1.5,random,HM,0.76119545,31.69692578,0.7591571500000001,32.66229673,0.0026813532876817734,-0.03000170985093584
50,12,1.5,random,HT1,1.43852275,60.660399930000004,1.4551393,61.63706126,-0.011484915902834954,-0.015972238239602043
50,12,1.5,random,HT2,1.1410445,48.67672909,1.14669625,48.91915804,-0.00494091080715431,-0.004968025923024857
50,12,1.5,scurve,HM,1.10683859,7.44178286,1.25320273,7.84065617,-0.1241946239127733,-0.05221207415479789
50,12,1.5,scurve,HT1,1.19327692,7.89742098,1.25815433,8.0560603,-0.05294259272509543,-0.01988839254647796
50,12,1.5,scurve,HT2,1.23655518,8.001406789999999,1.28399825,8.10424497,-0.03764940939449434,-0.012770619801589961
50,12,1.5,sharp,HM,0.79400495,1.1765533000000001,0.6741585499999999,1.04070868,0.16362437484757517,0.12268732785957866
50,12,1.5,sharp,HT1,0.6608249,0.89829513,1.0061789,1.27992759,-0.420426264756361,-0.3540601181319786
50,12,1.5,sharp,HT2,0.7666290499999999,1.07036614,0.8548072999999999,1.1783827,-0.1088730165898829,-0.09614212827811953
50,12,1.5,zigzag,HM,1.09513309,7.97407904,1.41897354,8.896513220000001,-0.259057851807927,-0.10946326581654618
50,12,1.5,zigzag,HT1,1.07015463,9.045965260000001,1.42941061,9.82902863,-0.2894590464196688,-0.08302128171244222
50,12,1.5,zigzag,HT2,1.3685896199999998,9.29398797,1.4639759900000002,9.577724940000001,-0.06737528001672165,-0.03007234733439907
50,12,2.0,random,HM,0.496657,20.49185403,0.48876820000000004,21.44279089,0.016011298536812144,-0.04536105705518802
50,12,2.0,random,HT1,1.272759,54.5628483,1.2949647999999998,55.46754012,-0.01729652823729169,-0.016444769866178433
50,12,2.0,random,HT2,0.9334203999999999,40.40779641,0.9388761999999999,40.61680214,-0.005827939272145485,-0.005159080015617221
50,12,2.0,scurve,HM,0.5870223,7.1870737899999995,0.60738735,7.34016051,-0.034103917036242735,-0.021076604652119982
50,12,2.0,scurve,HT1,0.74085928,7.587660509999999,0.8704017199999999,7.76880713,-0.16114415047398226,-0.023593319378904392
50,12,2.0,scurve,HT2,0.65496245,7.53018074,0.72267715,7.64764429,-0.0983846744961236,-0.015478620288936953
50,12,2.0,sharp,HM,0.5074912,0.8544493,0.396668,0.5778368,0.2463797120877729,0.39116569199003076
50,12,2.0,sharp,HT1,0.5370156,0.70698198,0.8671169999999999,1.11027565,-0.479146771406509,-0.4513584192157152
50,12,2.0,sharp,HT2,0.563776,0.76083525,0.6397434,0.87276572,-0.12641014896945732,-0.13725031488844724
50,12,2.0,zigzag,HM,0.62996106,7.62405834,0.7120447299999999,8.41649044,-0.12248272452091791,-0.09888411053855256
50,12,2.0,zigzag,HT1,0.74243045,8.79294077,1.0565278,9.4458221,-0.3528139537526771,-0.07162332359380773
50,12,2.0,zigzag,HT2,0.8342115,8.857733510000001,0.92325449,9.07862723,-0.10141794964491942,-0.024632074680851664
50,12,2.5,random,HM,0.3130675,12.468972260000001,0.29993325,13.28952032,0.04285887234263967,-0.06373243947586381
50,12,2.5,random,HT1,1.1367105,48.712559490000004,1.157326,49.55093137,-0.017973606770755234,-0.017064165257270635
50,12,2.5,random,HT2,0.74125675,32.59297983,0.7465784999999999,32.79960005,-0.007153712341864609,-0.006319399173124639
50,12,2.5,scurve,HM,0.50503712,7.17084339,0.39969453,7.18510706,0.23393135116481262,-0.0019871445980968053
50,12,2.5,scurve,HT1,0.63708429,7.5201806399999995,0.7179262900000001,7.6356321000000005,-0.11946493340208728,-0.01523556607776286
50,12,2.5,scurve,HT2,0.47871711,7.3818899,0.50738194,7.45319299,-0.05815421491537168,-0.009612839995761567
50,12,2.5,sharp,HM,0.50814975,1.46605167,0.2535605,0.37428331,0.6951737342690574,1.3653151033765776
50,12,2.5,sharp,HT1,0.436772,0.56735172,0.7084524999999999,0.9127181799999999,-0.4836716940226194,-0.47544772937561114
50,12,2.5,sharp,HT2,0.42515675,0.56336999,0.50373575,0.69404189,-0.16959390056444335,-0.20859573077784624
50,12,2.5,zigzag,HM,0.47718615,7.376369029999999,0.40944974,8.1660171,0.15309250561450147,-0.10169977075869784
50,12,2.5,zigzag,HT1,0.59810623,8.6535981,0.88953998,9.22285014,-0.39693607238043155,-0.06370891584029373
50,12,2.5,zigzag,HT2,0.5988969199999999,8.64990483,0.6862516,8.84079376,-0.13615482783739932,-0.02182834590258502
100,4,1.5,random,HM,1.28944916,158.53987831,1.2807900799999998,159.52100757,0.006737981916773048,-0.006169462612694017
100,4,1.5,random,HT1,1.7142796100000002,213.55118978,1.71260275,214.81103890999998,0.0009786505386987436,-0.005882184180548576
100,4,1.5,random,HT2,1.53846225,191.97610588,1.5393716100000001,192.22818429,-0.0005909091054450367,-0.0013122104704220673
100,4,1.5,scurve,HM,1.7382043999999999,11.20083924,2.9957834300000004,12.44270217,-0.5443531502880511,-0.10514557232431099
