pop,n,step_ratio,pattern,threshold_range,gain_scheme,R_latent,R_abs_latent,R_clamped,R_abs_clamped,R_log_ratio,R_abs_log_ratio
50,12,2.0,scurve,HM,Agent,0.47502586999999996,7.23220458,0.5064580399999999,7.31786836,-0.06407221150711799,-0.01177516706027613
50,12,2.0,scurve,HM,Global,0.5170849900000001,7.265039400000001,0.53647285,7.306678399999999,-0.036808703298622,-0.005715058980075092
50,12,2.0,scurve,HT1,Agent,0.5969820699999999,7.49139879,0.22726776,7.166156989999999,0.965758197621674,0.04438600816971911
50,12,2.0,scurve,HT1,Global,0.64355266,7.51948347,0.28693816,7.20782599,0.807737135250551,0.04233006931998608
50,12,2.0,scurve,HT2,Agent,0.47748739,7.38188731,0.25172157,7.1961796300000005,0.6402141554670031,0.025479060724701647
50,12,2.0,scurve,HT2,Global,0.5084142899999999,7.3978430600000005,0.3005853,7.223099039999999,0.5255650727819108,0.02390438861484354
50,12,2.0,sharp,HM,Agent,0.2988666,0.54228445,0.40163699999999997,0.60133995,-0.29555137561948674,-0.10336973594955311
50,12,2.0,sharp,HM,Global,0.3301148,0.56319893,0.39270299999999997,0.52180997,-0.17361312822157893,0.07632942552645662
50,12,2.0,sharp,HT1,Agent,0.39562980000000003,0.62647494,0.3896542,0.66190923,0.015219246390639046,-0.05501965819618714
50,12,2.0,sharp,HT1,Global,0.3781434,0.51952926,0.36263959999999995,0.52193715,0.04186398514851078,-0.004624045993796821
50,12,2.0,sharp,HT2,Agent,0.3117176,0.47489705,0.22558340000000002,0.40339584,0.3234077143721103,0.16317973057984045
50,12,2.0,sharp,HT2,Global,0.35003259999999997,0.51313993,0.2835152,0.43129011,0.21076055575224723,0.17376760329134167
50,12,2.0,zigzag,HM,Agent,0.50341916,8.229044850000001,0.47854948999999997,8.32558522,0.05066351023886907,-0.011663379246816994
50,12,2.0,zigzag,HM,Global,0.55893883,8.23651213,0.55487321,8.29355076,0.007300402421068151,-0.006901226784269473
50,12,2.0,zigzag,HT1,Agent,0.47430298,8.43043493,0.30485042,8.29463965,0.4420250857274563,0.016238882936340193
50,12,2.0,zigzag,HT1,Global,0.55311396,8.52317138,0.38927149,8.37543631,0.35128703831606223,0.01748532621064995
50,12,2.0,zigzag,HT2,Agent,0.49735985,8.43765025,0.33305717,8.33670806,0.40099965144211647,0.012035442024499996
50,12,2.0,zigzag,HT2,Global,0.56165977,8.49641641,0.40952026,8.36778766,0.3159098980724618,0.015254944013365817
50,12,2.5,random,HM,Agent,0.25180475,12.86645629,0.31236875000000003,11.5917447,-0.21553039534151294,0.10433045618453986
50,12,2.5,random,HM,Global,0.255919,11.821631259999998,0.3090785,11.77217063,-0.1887343017786002,0.004192686086345481
50,12,2.5,random,HT1,Agent,0.99958725,42.76587101,1.228031,50.25158381999999,-0.2058249089107206,-0.1613016870666318
50,12,2.5,random,HT1,Global,1.09986125,47.14687549,1.22276375,50.931576729999996,-0.10592963003341724,-0.07721535974487968
50,12,2.5,random,HT2,Agent,0.61321475,26.91301566,0.7554545,32.14098564,-0.2086043540320821,-0.1775220038006423
50,12,2.5,random,HT2,Global,0.7083965000000001,31.097416629999998,0.7398205,32.00898638,-0.043403624021366265,-0.028891938575457264
50,12,2.5,scurve,HM,Agent,0.34587878000000005,7.15655655,0.41619236,7.25645322,-0.18505919038057406,-0.013862235755177149
50,12,2.5,scurve,HM,Global,0.37902428,7.1769886,0.41996873,7.23910584,-0.10257998976974805,-0.008617815968839168
50,12,2.5,scurve,HT1,Agent,0.51628217,7.4492601,0.24625123999999998,7.19489507,0.7403011415312188,0.03474295552884213
