pop,n,step_ratio,pattern,threshold_range,threshold_mode,R_agent,R_abs_agent,R_global,R_abs_global,R_log_ratio,R_abs_log_ratio
50,4,2.5,zigzag,HT1,latent,1.2214411,26.21115657,1.33070178,26.483866539999998,-0.08567506605781654,-0.010350594368420455
50,4,2.5,zigzag,HT2,clamped,0.6373614,25.89717423,0.81079254,26.01994428,-0.24067537211566215,-0.004729471987882819
50,4,2.5,zigzag,HT2,latent,1.03370677,26.134428189999998,1.13193948,26.311046030000004,-0.09078136759445556,-0.006735319312422241
50,8,1.5,random,HM,clamped,0.91001234,57.79614418999999,0.90452174,57.53290630000001,0.0060518199333471695,0.004564996347757051
50,8,1.5,random,HM,latent,0.7904783999999999,50.237601569999995,0.83027315,53.01734685,-0.04911641123782041,-0.05385537748833145
50,8,1.5,random,HT1,clamped,1.61225889,99.02431455,1.62746418,100.38646317999999,-0.009386852715460237,-0.013661947788308842
50,8,1.5,random,HT1,latent,1.4457679300000001,90.96828903,1.52972095,96.04508184000001,-0.056444713302318074,-0.05430671015058761
50,8,1.5,random,HT2,clamped,1.29451211,81.34548337,1.31423672,82.73910451,-0.015122180914955865,-0.01698702687048767
50,8,1.5,random,HT2,latent,1.18473371,75.35602508,1.27771693,81.07690307,-0.07555680486431603,-0.07317424175174866
50,8,1.5,scurve,HM,clamped,1.0846200400000001,9.29955248,1.2815124900000001,9.34291863,-0.16681128105348514,-0.004652412007566652
50,8,1.5,scurve,HM,latent,1.3913125199999998,9.43266125,1.45312172,9.45807459,-0.0434665919834092,-0.00269056277596722
50,8,1.5,scurve,HT1,clamped,0.66598828,9.150484290000001,0.7557436900000001,9.19929671,-0.12643021151489411,-0.005320230812090219
50,8,1.5,scurve,HT1,latent,1.43444864,9.66928648,1.48335728,9.696665789999999,-0.03352739881745313,-0.0028275736571208294
50,8,1.5,scurve,HT2,clamped,1.07777138,9.49103103,1.12498881,9.51160673,-0.042877716867223546,-0.0021655633603041313
50,8,1.5,scurve,HT2,latent,1.52018801,9.772340759999999,1.5499165,9.7871582,-0.019367040513736816,-0.001515114764938188
50,8,1.5,sharp,HM,clamped,0.84694148,1.04847761,0.90064298,1.1384485,-0.061477329112382156,-0.08232715372410536
50,8,1.5,sharp,HM,latent,0.7213647299999999,0.9182554199999999,0.78925125,1.00888441,-0.08993983498987597,-0.09412486760760562
50,8,1.5,sharp,HT1,clamped,0.37592098,0.4978129,0.53575272,0.7209863599999999,-0.35429374960685694,-0.37039591531736404
50,8,1.5,sharp,HT1,latent,0.55657414,0.7496691400000001,0.68494089,0.92733062,-0.20753215520956572,-0.21267819532857377
50,8,1.5,sharp,HT2,clamped,0.53579376,0.70060606,0.62909585,0.8552703300000001,-0.1605343189226712,-0.19947183394765428
50,8,1.5,sharp,HT2,latent,0.69302601,0.93939741,0.79017002,1.07681701,-0.1311806065423637,-0.13652613906093705
